1,0.09,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,2420.00,120.00,420.00,600.00,600.00,600.00,460.00,520.00,600.00,600.00,660.00,1980.00,600.00,600.00,480.00,40.00,20.00,540.00,2160.00,600.00
43,0.79,1.05,1.07,1.46,2.34,3.67,1.07,2247.03,1.05,28,34.0,1020.00,1020.00,3740.00,986.00,952.00,1020.00,4250.00,170.00,952.00,1020.00,680.00,1020.00,3978.00,3978.00,204.00,102.00,918.00,272.00,1020.00,34.00,476.00,1020.00,952.00,3978.00,1020.00,918.00,1020.00,1020.00
44,0.79,1.05,1.07,1.46,2.34,3.67,1.07,2247.03,1.05,28,34.0,1020.00,816.00,1020.00,952.00,3570.00,170.00,2924.00,3400.00,1020.00,1020.00,4046.00,3264.00,1020.00,1020.00,646.00,4284.00,1020.00,510.00,714.00,1122.00,1020.00,952.00,918.00,1020.00,1020.00,748.00,1020.00,3128.00
45,0.79,8.42,8.55,0.89,0.83,0.83,8.55,0.89,8.41,29,35.0,770.00,4550.00,1050.00,1050.00,1050.00,210.00,1050.00,210.00,35.00,1715.00,1050.00,1015.00,70.00,4165.00,1050.00,4480.00,945.00,1050.00,735.00,35.00,980.00,3605.00,1050.00,1050.00,1015.00,280.00,4235.00,140.00,525.00
46,0.78,8.42,8.55,0.89,0.83,0.83,8.55,0.89,8.41,29,35.0,4270.00,1050.00,1820.00,1050.00,1050.00,1050.00,280.00,280.00,1050.00,1050.00,945.00,3430.00,1050.00,1050.00,35.00,1015.00,1050.00,1050.00,1050.00,1050.00,1050.00,4270.00,1050.00,1050.00,1050.00,35.00,7175.00,2555.00,1050.00
47,0.79,8.42,8.55,0.89,0.83,0.83,8.55,0.89,8.41,29,35.0,4130.00,1015.00,4095.00,1050.00,4445.00,630.00,1050.00,1050.00,945.00,700.00,3570.00,1050.00,1050.00,1050.00,4305.00,35.00,1050.00,1050.00,35.00,525.00,3850.00,245.00,1050.00,4200.00,1050.00,1050.00,1050.00,35.00,1155.00
48,0.79,8.42,8.55,0.89,0.83,0.83,8.55,0.89,8.41,29,35.0,1050.00,595.00,1050.00,525.00,1050.00,1015.00,1225.00,1050.00,1050.00,7910.00,980.00,630.00,35.00,735.00,1190.00,35.00,1015.00,1225.00,1050.00,280.00,980.00,840.00,3605.00,1050.00,6300.00,1050.00,4130.00,3325.00,245.00
49,0.79,8.42,8.55,0.89,0.83,0.83,8.55,0.89,8.41,29,35.0,245.00,2730.00,1050.00,1050.00,1050.00,3430.00,1050.00,980.00,455.00,980.00,1050.00,980.00,280.00,1050.00,840.00,2835.00,1050.00,875.00,945.00,4130.00,35.00,1015.00,1050.00,1050.00,1050.00,3850.00,1050.00,910.00,1050.00
50,0.80,8.42,8.55,0.89,0.83,0.83,8.55,0.89,8.41,29,35.0,4165.00,1050.00,1050.00,105.00,875.00,385.00,805.00,1050.00,1050.00,1050.00,4480.00,35.00,3360.00,140.00,1050.00,1015.00,1050.00,315.00,525.00,4200.00,1050.00,1015.00,1050.00,1050.00,875.00,1050.00,700.00,1050.00,1050.00
51,0.80,8.42,8.55,0.89,0.83,0.83,8.55,0.89,8.41,29,35.0,455.00,1050.00,4270.00,1050.00,1050.00,2380.00,1050.00,910.00,770.00,1015.00,1050.00,525.00,35.00,140.00,1050.00,1050.00,1015.00,1015.00,1050.00,4200.00,35.00,1050.00,1050.00,1050.00,70.00,1050.00,4130.00,3185.00,4130.00
52,0.80,8.42,8.55,0.89,0.83,0.83,8.55,0.89,8.41,29,35.0,4235.00,1050.00,1050.00,595.00,70.00,175.00,1050.00,175.00,3850.00,1050.00,3360.00,910.00,1015.00,3570.00,700.00,105.00,1050.00,1050.00,3570.00,70.00,4305.00,1050.00,1050.00,4585.00,1050.00,455.00,1050.00,1050.00,1050.00
53,0.80,0.26,0.08,0.89,0.83,0.83,0.08,0.89,0.12,28,34.0,1020.00,3298.00,1020.00,1020.00,1020.00,1020.00,442.00,952.00,1020.00,1020.00,1020.00,986.00,850.00,3638.00,170.00,476.00,1020.00,3094.00,986.00,1020.00,510.00,1020.00,1020.00,2176.00,3978.00,884.00,1020.00,986.00
54,0.80,0.26,0.08,0.89,0.83,0.83,0.08,0.89,0.12,28,34.0,986.00,1020.00,34.00,204.00,714.00,1020.00,1020.00,816.00,1020.00,34.00,1020.00,510.00,952.00,3230.00,68.00,1020.00,1020.00,272.00,3978.00,1020.00,1020.00,578.00,1020.00,986.00,1020.00,4182.00,1020.00,1020.00
55,0.80,0.26,0.08,0.89,0.83,0.83,0.08,0.89,0.12,28,34.0,1020.00,1190.00,2312.00,1020.00,6290.00,612.00,1020.00,68.00,1020.00,986.00,884.00,1020.00,102.00,4284.00,1020.00,2890.00,1020.00,544.00,1020.00,918.00,2754.00,1122.00,272.00,204.00,1020.00,476.00,986.00,204.00
56,0.80,0.26,0.08,0.89,0.83,0.83,0.08,0.89,0.12,28,34.0,884.00,1020.00,3264.00,408.00,3230.00,3264.00,986.00,1020.00,1020.00,1054.00,1020.00,136.00,1020.00,1020.00,612.00,1020.00,1020.00,3774.00,1020.00,1020.00,850.00,4148.00,1122.00,986.00,1156.00,986.00,1020.00,3774.00
57,0.80,0.26,0.08,0.89,0.83,0.83,0.08,0.89,0.12,28,34.0,3264.00,4012.00,1020.00,1564.00,3366.00,646.00,1020.00,952.00,4250.00,1020.00,1020.00,204.00,1802.00,1020.00,952.00,68.00,3264.00,578.00,170.00,3706.00,4352.00,1020.00,1020.00,102.00,1020.00,986.00,68.00,4216.00
58,0.81,0.26,0.08,0.89,0.83,0.83,0.08,0.89,0.12,28,34.0,1020.00,1190.00,1020.00,2754.00,510.00,1020.00,952.00,1020.00,204.00,1020.00,1020.00,1020.00,1020.00,918.00,3332.00,952.00,3400.00,1020.00,1020.00,1020.00,272.00,4216.00,204.00,1020.00,1020.00,1020.00,3604.00,918.00
59,0.81,0.26,0.08,0.89,0.83,0.83,0.08,0.89,0.12,28,34.0,1020.00,918.00,1020.00,1020.00,986.00,1020.00,1020.00,646.00,986.00,782.00,34.00,6222.00,476.00,306.00,986.00,4114.00,374.00,3978.00,3978.00,1020.00,952.00,884.00,4318.00,1190.00,918.00,340.00,544.00,986.00
60,0.81,0.26,0.08,0.89,0.83,0.83,0.08,0.89,0.12,28,34.0,1020.00,1020.00,1020.00,4012.00,544.00,136.00,1020.00,4182.00,1020.00,4148.00,4080.00,102.00,1020.00,1020.00,986.00,68.00,1020.00,986.00,1020.00,986.00,782.00,68.00,3978.00,1020.00,816.00,3230.00,238.00,952.00
61,0.81,0.26,0.08,0.89,0.83,0.83,0.08,0.89,0.12,28,34.0,1020.00,782.00,1020.00,272.00,1020.00,4250.00,1020.00,1020.00,1020.00,4896.00,204.00,1020.00,1020.00,1020.00,1020.00,1020.00,1020.00,816.00,1020.00,1020.00,1156.00,1020.00,8500.00,986.00,1020.00,612.00,442.00,1020.00
